episode,reward
1,27
2,14
3,3
4,8
5,8
6,27
7,14
8,11
9,18
10,13
11,29
12,11
13,-5
14,19
15,7
16,39
17,14
18,33
19,32
20,12
21,7
22,14
23,36
24,36
25,11
26,7
27,16
28,9
29,38
30,-9
31,33
32,-14
33,9
34,31
35,20
36,14
37,12
38,12
39,4
40,10
41,34
42,28
43,17
44,-5
45,36
46,34
47,19
48,9
49,34
50,4
51,-9
52,3
53,36
54,13
55,28
56,15
57,12
58,19
59,11
60,11
61,9
62,12
63,8
64,22
65,15
66,20
67,26
68,-6
69,4
70,23
71,8
72,2
73,-11
74,29
75,5
76,31
77,33
78,6
79,12
80,38
81,8
82,35
83,10
84,25
85,32
86,12
87,10
88,30
89,11
90,-13
91,-5
92,2
93,11
94,8
95,12
96,2
97,11
98,32
99,37
100,15
101,-13
102,15
103,35
104,1
105,7
106,13
107,18
108,8
109,4
110,8
111,8
112,12
113,14
114,30
115,9
116,14
117,12
118,13
119,36
120,12
121,4
122,11
123,14
124,28
125,10
126,-5
127,7
128,8
129,7
130,11
131,11
132,7
133,10
134,23
135,10
136,6
137,-7
138,15
139,-5
140,-2
141,10
142,5
143,4
144,24
145,35
146,9
147,13
148,13
149,27
150,36
151,12
152,10
153,6
154,28
155,-3
156,19
157,12
158,15
159,10
160,22
161,9
162,9
163,9
164,12
165,22
166,13
167,8
168,10
169,5
170,11
171,3
172,8
173,13
174,10
175,12
176,9
177,11
178,6
179,10
180,7
181,8
182,12
183,9
184,7
185,12
186,10
187,31
188,6
189,7
190,35
191,8
192,13
193,14
194,7
195,14
196,8
197,13
198,4
199,18
200,6
201,8
202,12
203,9
204,17
205,13
206,7
207,35
208,12
209,28
210,11
211,8
212,35
213,16
214,9
215,27
216,10
217,8
218,7
219,12
220,39
221,8
222,11
223,8
224,10
225,28
226,6
227,29
228,31
229,8
230,36
231,6
232,14
233,7
234,12
235,11
236,7
237,37
238,34
239,5
240,8
241,32
242,34
243,11
244,10
245,11
246,13
247,2
248,14
249,16
250,14
251,9
252,10
253,4
254,41
255,19
256,-7
257,28
258,31
259,13
260,18
261,14
262,3
263,37
264,4
265,7
266,9
267,10
268,9
269,29
270,8
271,9
272,10
273,21
274,3
275,20
276,7
277,10
278,9
279,8
280,13
281,11
282,9
283,8
284,8
285,11
286,-8
287,8
288,13
289,10
290,14
291,9
292,10
293,11
294,9
295,4
296,28
297,11
298,9
299,20
300,14
